Income,Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q6OTH1,"What is your race? (white, black, latino, asian, other)",Q7OTH1,"Do you live in a city, suburb, or small town?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","Do you think federal funding for welfare programs in America should be increased, decreased, or kept the same? ",Do you think poor black people are more likely to benefit from welfare programs than poor white people?,Do you think poor people in cities are more likely to benefit from welfare programs than poor people in small towns?,"If you had to choose, would you rather live in a more equal society or a more unequal society?","
Now, I'd like you to try to guess the level of wealth equality in America. Out of all the wealth that Americans have, what percentage of that wealth would you guess is owned by the richest 1% of Americans? (0 to 100%)","In general, do you think our government should take money from the rich and give it to the poor?","In many other countries, poverty is more extreme than it is in America. Do you think our government should give money to the poorest people in those other countries, instead of giving it to the poorest Americans?","
Do you consider rap a form of music?",Are you hungry right now? ,Do you think you're strong enough to beat most people in a fist-fight?,"
Do you think your farts are more smelly or less smelly than other people's farts?"
,Male,69,65+,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Small Town,Approve,DK/REF,DK/REF,DK/REF,More Equal Society,5,Strongly Yes,Strongly Yes,No,Not Hungry,No,Less Smelly
60000,Male,50,45-54,DK/REF,DK/REF,College degree,,Black,,City,Disapprove,Increased,No,No,More Equal Society,90,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Female,56,55-64,DK/REF,Strong Conservative,Some college,,White,,Small Town,Approve,Increased,DK/REF,Yes,DK/REF,DK/REF,Not Very Strongly No,Strongly No,DK/REF,Not Hungry,No,Less Smelly
,Female,70,65+,Strong Democrat,Moderate,Some college,,Black,,City,Disapprove,Increased,No,No,More Equal Society,DK/REF,Not Very Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Male,67,65+,Strong Republican,Strong Conservative,Graduate degree,,Latino,,Small Town,Approve,Decreased,No,Yes,DK/REF,DK/REF,Strongly No,Strongly No,No,Not Hungry,DK/REF,DK/REF
120000,Male,40,35-44,Strong Democrat,Strong Liberal,High school or less,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,95,Strongly Yes,Not Very Strongly No,Yes,DK/REF,DK/REF,DK/REF
45000,Male,37,35-44,Strong Democrat,Strong Liberal,College degree,,White,,Suburb,Disapprove,Increased,No,Yes,More Equal Society,1,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
210,Male,44,35-44,Not Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,DK/REF,Yes,More Unequal Society,5,Strongly No,Strongly No,Yes,A Little Hungry,No,DK/REF
,Female,60,55-64,Independent,Strong Conservative,High school or less,,White,,Small Town,DK/REF,Increased,No,No,More Equal Society,DK/REF,Strongly Yes,DK/REF,No,Not Hungry,No,DK/REF
120000,Male,44,35-44,Strong Democrat,Moderate,College degree,,White,,Suburb,Disapprove,Kept the Same,No,Yes,More Unequal Society,3,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,Less Smelly
60,Female,59,55-64,Independent,Moderate,Graduate degree,,White,,Small Town,Disapprove,Kept the Same,DK/REF,DK/REF,More Equal Society,80,Strongly No,Not Very Strongly No,Yes,A Little Hungry,No,DK/REF
,Male,34,25-34,Not Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,DK/REF,DK/REF,DK/REF,DK/REF,Not Very Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Female,74,65+,Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Decreased,No,Yes,DK/REF,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
120000,Female,36,35-44,Independent,Moderate,Graduate degree,,White,,Suburb,Disapprove,DK/REF,DK/REF,Yes,More Equal Society,50,DK/REF,DK/REF,Yes,Not Hungry,No,DK/REF
12,Male,61,55-64,Strong Republican,Strong Liberal,High school or less,,White,,Small Town,Approve,Increased,Yes,Yes,More Equal Society,DK/REF,Strongly Yes,Strongly Yes,Yes,Not Hungry,DK/REF,DK/REF
50000,Male,40,35-44,Strong Republican,Strong Conservative,High school or less,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,25,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
80000,Male,35,35-44,Not Strong Republican,Moderate,Some college,,White,,Suburb,Approve,Decreased,DK/REF,No,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Female,72,65+,Independent,Moderate,High school or less,,White,,Suburb,Approve,Kept the Same,No,No,More Equal Society,10,Strongly No,Not Very Strongly No,No,Not Hungry,No,DK/REF
75000,Male,60,55-64,Independent,Not Very Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Male,68,65+,Independent,Moderate,Some college,,White,,Suburb,Disapprove,Decreased,No,No,DK/REF,85,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,29,25-34,Independent,Moderate,High school or less,,White,,Small Town,Approve,Increased,No,Yes,More Equal Society,70,Strongly Yes,Strongly Yes,No,Not Hungry,Yes,More Smelly
50,Female,68,65+,Not Strong Democrat,Moderate,Graduate degree,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,80,Not Very Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,No,DK/REF
21000,Female,64,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,99,Strongly No,Strongly Yes,No,Not Hungry,No,Less Smelly
,Female,18,18-24,Independent,Moderate,Some college,,White,,Small Town,Disapprove,DK/REF,No,No,More Unequal Society,20,Not Very Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
100000,Female,70,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Small Town,Approve,Decreased,No,No,More Unequal Society,100,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
20000,Male,21,18-24,Strong Republican,Moderate,High school or less,,White,,City,Approve,Increased,DK/REF,Yes,More Equal Society,50,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
30000,Female,64,55-64,Independent,Not Very Strong Conservative,High school or less,,White,,Small Town,Neither Approve nor disapprove,Decreased,DK/REF,Yes,More Equal Society,100,Not Very Strongly No,Not Very Strongly No,No,Not Hungry,No,DK/REF
25000,Female,65,65+,Strong Democrat,Not Very Strong Conservative,Some college,,Black,,City,Disapprove,Increased,No,No,More Equal Society,90,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Female,62,55-64,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,50,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
980,Female,65,65+,Strong Democrat,Moderate,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,5,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,DK/REF,Less Smelly
100000,Female,40,35-44,Strong Republican,DK/REF,College degree,,White,,Small Town,Approve,Decreased,No,DK/REF,DK/REF,50,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
,Male,40,35-44,Independent,Moderate,College degree,,White,,Suburb,Disapprove,Increased,DK/REF,DK/REF,More Equal Society,50,DK/REF,DK/REF,Yes,Not Hungry,DK/REF,DK/REF
150,Male,37,35-44,Independent,Moderate,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,50,DK/REF,Not Very Strongly No,Yes,Not Hungry,Yes,DK/REF
12000,Male,65,65+,Strong Democrat,Strong Liberal,High school or less,,White,,Suburb,Approve,DK/REF,Yes,No,More Equal Society,50,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
88000,Female,53,45-54,Independent,Strong Conservative,College degree,,White,,City,Approve,Decreased,No,Yes,DK/REF,80,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Female,65,65+,Independent,Not Very Strong Conservative,Graduate degree,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,50,Not Very Strongly No,Not Very Strongly No,No,Not Hungry,No,DK/REF
150000,Male,54,45-54,Independent,Moderate,High school or less,,White,,City,Approve,Kept the Same,No,No,More Equal Society,5,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,56,55-64,DK/REF,DK/REF,High school or less,,Black,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,30,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,99,65+,Independent,DK/REF,Graduate degree,,Asian,,Suburb,DK/REF,DK/REF,No,No,More Equal Society,1,Strongly Yes,Strongly Yes,No,Not Hungry,No,More Smelly
,Female,42,35-44,Strong Democrat,Not Very Strong Conservative,College degree,,Black,,City,Disapprove,Kept the Same,No,No,More Unequal Society,1,Strongly Yes,Not Very Strongly No,Yes,Very Hungry,DK/REF,DK/REF
17000,Male,62,55-64,Independent,Strong Conservative,Graduate degree,,White,,Small Town,Neither Approve nor disapprove,Kept the Same,No,Yes,More Unequal Society,85,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
47,Female,62,55-64,Not Strong Democrat,Moderate,College degree,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,80,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,More Smelly
,Female,66,65+,DK/REF,Not Very Strong Conservative,High school or less,,White,,City,DK/REF,Kept the Same,DK/REF,DK/REF,More Equal Society,DK/REF,Strongly Yes,DK/REF,No,A Little Hungry,No,DK/REF
,Female,50,45-54,Independent,Moderate,College degree,,White,,Suburb,Disapprove,Increased,No,Yes,More Equal Society,5,Strongly Yes,Not Very Strongly Yes,No,Not Hungry,No,DK/REF
50000,Female,54,45-54,Strong Democrat,Moderate,Some college,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,90,Not Very Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
50,DK/REF,54,45-54,Independent,Strong Conservative,Some college,,DK/REF,,Suburb,DK/REF,Decreased,No,DK/REF,DK/REF,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Female,68,65+,Independent,Strong Conservative,Graduate degree,,White,,City,Approve,Decreased,Yes,Yes,More Equal Society,40,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,60,55-64,Independent,Moderate,College degree,,White,,Suburb,Approve,Kept the Same,Yes,DK/REF,More Equal Society,5,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,90,65+,Strong Republican,Moderate,High school or less,,White,,City,Approve,Kept the Same,Yes,Yes,More Equal Society,DK/REF,Strongly No,Strongly Yes,No,Not Hungry,Yes,DK/REF
135000,Male,65,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,3,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
20,Female,49,45-54,Not Strong Republican,Moderate,High school or less,,Black,,City,Disapprove,DK/REF,No,No,More Equal Society,DK/REF,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
,Female,63,55-64,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,60,55-64,Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Decreased,DK/REF,DK/REF,More Unequal Society,20,Strongly No,Strongly Yes,No,Not Hungry,No,DK/REF
70000,Male,45,45-54,Independent,Moderate,Some college,,Black,,City,Disapprove,Kept the Same,Yes,Yes,More Equal Society,20,Not Very Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
,Female,90,65+,Strong Democrat,Strong Conservative,High school or less,,White,,Suburb,Neither Approve nor disapprove,Increased,DK/REF,Yes,More Equal Society,DK/REF,Not Very Strongly No,Not Very Strongly Yes,No,Not Hungry,Yes,DK/REF
500000,Male,97,65+,Independent,Strong Conservative,High school or less,,White,,Small Town,Disapprove,Decreased,No,Yes,DK/REF,DK/REF,Strongly No,Strongly No,DK/REF,Not Hungry,Yes,DK/REF
,Male,68,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Suburb,Approve,Kept the Same,No,Yes,More Equal Society,20,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,56,55-64,Not Strong Democrat,Moderate,College degree,,White,,Suburb,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,80,Not Very Strongly No,Strongly No,DK/REF,Not Hungry,Yes,DK/REF
,Male,59,55-64,DK/REF,Not Very Strong Conservative,Some college,,White,,Small Town,DK/REF,Decreased,DK/REF,DK/REF,More Unequal Society,5,Strongly No,DK/REF,No,Not Hungry,DK/REF,More Smelly
,Male,65,65+,Independent,Strong Conservative,College degree,,White,,Suburb,Approve,Kept the Same,Yes,Yes,More Equal Society,50,Not Very Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
12000,Male,45,45-54,DK/REF,Moderate,Some college,,White,,Small Town,Disapprove,Kept the Same,No,No,More Unequal Society,80,Not Very Strongly No,Strongly No,No,Not Hungry,No,DK/REF
85000,Female,54,45-54,Strong Democrat,Strong Liberal,High school or less,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,8,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
58000,Female,57,55-64,Independent,Moderate,Graduate degree,,White,,Small Town,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,28,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
30000,Male,70,65+,DK/REF,DK/REF,High school or less,,White,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Not Very Strongly No,No,Not Hungry,DK/REF,DK/REF
,Female,61,55-64,Strong Republican,Moderate,High school or less,,White,,Small Town,Approve,DK/REF,No,No,More Equal Society,DK/REF,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,36,35-44,Independent,Moderate,Graduate degree,,White,,Suburb,DK/REF,Decreased,No,Yes,DK/REF,60,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,55,55-64,Independent,Moderate,High school or less,,White,,Small Town,Disapprove,Kept the Same,Yes,Yes,More Equal Society,80,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
60000,Male,53,45-54,Strong Republican,Strong Conservative,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,65,Strongly No,Strongly No,No,Not Hungry,Yes,Less Smelly
20000,Male,41,35-44,Independent,Moderate,High school or less,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,20,Strongly No,Strongly No,No,Not Hungry,DK/REF,DK/REF
110,Female,62,55-64,DK/REF,Strong Conservative,Graduate degree,,White,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,25,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
120000,Male,56,55-64,Strong Republican,Strong Conservative,High school or less,,Black,,City,DK/REF,Increased,No,Yes,More Unequal Society,DK/REF,Strongly Yes,Strongly No,No,Very Hungry,No,More Smelly
,Male,50,45-54,Strong Republican,Strong Conservative,Some college,,White,,City,Approve,Kept the Same,No,No,More Equal Society,60,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
30000,Male,60,55-64,Independent,DK/REF,College degree,,Other,Mexican,Small Town,Neither Approve nor disapprove,Increased,No,No,More Equal Society,60,Strongly No,Strongly Yes,Yes,Not Hungry,No,DK/REF
,Female,64,55-64,DK/REF,Moderate,Some college,,White,,City,Neither Approve nor disapprove,Kept the Same,Yes,No,More Equal Society,24,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
,Male,32,25-34,Strong Democrat,Not very strong Liberal,High school or less,,Latino,,Small Town,Disapprove,Increased,Yes,Yes,More Equal Society,DK/REF,Strongly Yes,DK/REF,No,Not Hungry,No,DK/REF
,Male,50,45-54,Not Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Small Town,Disapprove,DK/REF,DK/REF,Yes,More Equal Society,5,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
93000,Male,57,55-64,Independent,Moderate,High school or less,,White,,Small Town,Approve,Decreased,No,No,More Unequal Society,85,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
75000,Male,59,55-64,Independent,Not very strong Liberal,Some college,,White,,Suburb,Disapprove,Kept the Same,Yes,Yes,More Equal Society,94,Strongly Yes,Strongly No,Yes,Not Hungry,No,More Smelly
,Female,66,65+,Strong Democrat,Strong Liberal,College degree,,White,,DK/REF,Disapprove,Increased,No,No,More Equal Society,90,Strongly Yes,DK/REF,Yes,Not Hungry,No,DK/REF
175000,Male,30,25-34,Independent,Moderate,Other,Master Degree,White,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,65,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
200000,Male,52,45-54,Strong Republican,Not Very Strong Conservative,College degree,,White,,City,Approve,Kept the Same,No,Yes,More Equal Society,85,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,More Smelly
30000,Female,67,65+,Independent,Not very strong Liberal,High school or less,,White,,Small Town,Neither Approve nor disapprove,Decreased,No,No,More Unequal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
70,Male,50,45-54,Independent,Strong Conservative,Some college,,White,,Small Town,Approve,Kept the Same,No,No,More Equal Society,DK/REF,DK/REF,DK/REF,DK/REF,Not Hungry,No,DK/REF
50,Female,45,45-54,Independent,Moderate,College degree,,Latino,,Suburb,Disapprove,Increased,No,No,More Equal Society,25,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,Yes,More Smelly
,Female,36,35-44,DK/REF,Moderate,Graduate degree,,White,,City,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,50,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
35000,Male,20,18-24,Independent,Moderate,Some college,,DK/REF,,Suburb,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,60,Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
14,Male,33,25-34,Independent,Strong Liberal,Some college,,White,,Small Town,Disapprove,Increased,Yes,No,More Equal Society,90,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
15000,Female,63,55-64,Strong Republican,Not very strong Liberal,High school or less,,DK/REF,,Small Town,Disapprove,Kept the Same,Yes,Yes,More Equal Society,1,Not Very Strongly Yes,Strongly No,No,Not Hungry,Yes,DK/REF
,Male,45,45-54,Independent,Moderate,Graduate degree,,White,,DK/REF,Disapprove,Kept the Same,No,No,More Equal Society,DK/REF,Not Very Strongly No,Strongly No,Yes,Very Hungry,Yes,More Smelly
90000,Female,38,35-44,Not Strong Republican,Moderate,College degree,,White,,Small Town,DK/REF,Kept the Same,DK/REF,No,More Equal Society,10,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
40000,Male,60,55-64,Independent,Moderate,Other,Master Degree,DK/REF,,DK/REF,Approve,Decreased,No,No,DK/REF,90,Strongly No,Strongly No,Yes,Not Hungry,No,More Smelly
40000,Female,68,65+,Not Strong Democrat,Strong Liberal,College degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,99,Strongly Yes,DK/REF,Yes,Not Hungry,DK/REF,DK/REF
70,Male,24,18-24,Independent,Moderate,High school or less,,White,,Suburb,Disapprove,Decreased,Yes,Yes,More Equal Society,99,Strongly No,Strongly No,Yes,Very Hungry,Yes,More Smelly
,Other,64,55-64,Independent,Not Very Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,No,More Unequal Society,80,Strongly No,Strongly Yes,Yes,Very Hungry,Yes,Less Smelly
40000,Female,65,65+,Strong Democrat,Moderate,Some college,,White,,City,Neither Approve nor disapprove,Decreased,Yes,No,More Equal Society,60,Strongly No,Strongly No,No,Not Hungry,Yes,Less Smelly
150000,Male,38,35-44,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,Yes,More Unequal Society,50,Strongly No,Strongly Yes,Yes,Not Hungry,DK/REF,DK/REF
80000,Male,63,55-64,Independent,Strong Liberal,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,1,Strongly Yes,DK/REF,Yes,Not Hungry,Yes,Less Smelly
100000,Female,49,45-54,Independent,DK/REF,High school or less,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,5,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
33000,Male,66,65+,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,10,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
100000,Female,20,18-24,Not Strong Democrat,Moderate,Some college,,Other,Hispanic,City,Disapprove,Kept the Same,No,No,More Equal Society,100,Not Very Strongly No,Not Very Strongly Yes,No,Not Hungry,Yes,Less Smelly
70000,Male,32,25-34,Strong Democrat,Not very strong Liberal,Graduate degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,99,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,77,65+,Independent,Moderate,Graduate degree,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,85,DK/REF,Strongly No,Yes,Not Hungry,No,Less Smelly
18,Female,59,55-64,Not Strong Democrat,Moderate,Some college,,White,,City,Approve,Kept the Same,No,Yes,More Equal Society,75,Strongly Yes,Strongly No,No,Not Hungry,No,Less Smelly
,Female,64,55-64,Strong Democrat,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Increased,No,No,More Equal Society,45,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
12,Male,65,65+,Independent,Strong Conservative,Graduate degree,,Asian,,Small Town,DK/REF,Kept the Same,No,No,More Equal Society,1,Strongly No,Strongly No,No,Not Hungry,No,More Smelly
35000,Other,42,35-44,DK/REF,DK/REF,High school or less,,Other,American Indian,DK/REF,Approve,Increased,No,No,More Unequal Society,1,Strongly No,Strongly No,DK/REF,Very Hungry,Yes,Less Smelly
,Female,63,55-64,Strong Republican,Moderate,High school or less,,White,,City,Approve,Kept the Same,Yes,DK/REF,More Equal Society,50,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,60,55-64,Strong Democrat,Strong Liberal,College degree,,White,,Small Town,Disapprove,Increased,DK/REF,DK/REF,More Equal Society,59,Strongly Yes,DK/REF,Yes,Not Hungry,No,DK/REF
,Female,66,65+,DK/REF,Moderate,Some college,,White,,Small Town,DK/REF,Kept the Same,No,No,More Equal Society,80,Not Very Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
50000,Female,74,65+,Not Strong Democrat,Moderate,Graduate degree,,White,,DK/REF,Neither Approve nor disapprove,Kept the Same,DK/REF,Yes,DK/REF,75,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
100000,Male,39,35-44,Independent,Strong Liberal,High school or less,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,50,Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,Yes,More Smelly
,Male,48,45-54,Not Strong Democrat,Moderate,College degree,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,30,Strongly No,Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
110000,Male,50,45-54,Independent,Moderate,Other,Master's Degree,Other,spanish,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,DK/REF,Strongly Yes,Strongly Yes,Yes,Not Hungry,DK/REF,DK/REF
,Male,55,55-64,Not Strong Republican,Moderate,Graduate degree,,Black,,City,Approve,Decreased,No,Yes,More Equal Society,30,Strongly No,Strongly No,Yes,Very Hungry,Yes,More Smelly
120000,Other,60,55-64,DK/REF,Not Very Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,21,18-24,DK/REF,Moderate,Some college,,White,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,80,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,40,35-44,Strong Democrat,Moderate,Graduate degree,,Latino,,Suburb,Disapprove,Increased,No,Yes,More Equal Society,20,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
700,Female,51,45-54,Strong Democrat,Moderate,High school or less,,White,,City,Disapprove,Increased,Yes,Yes,More Equal Society,75,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,33,25-34,DK/REF,Not very strong Liberal,Graduate degree,,Asian,,City,Disapprove,Increased,DK/REF,DK/REF,More Equal Society,98,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,No,DK/REF
,Female,65,65+,Strong Republican,Moderate,Some college,,White,,City,Approve,Decreased,No,Yes,More Equal Society,1,Strongly No,Not Very Strongly No,No,Not Hungry,No,More Smelly
,Female,21,18-24,Independent,Moderate,High school or less,,Latino,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,70,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,DK/REF
100000,Male,61,55-64,Not Strong Democrat,Not very strong Liberal,College degree,,White,,Small Town,Disapprove,Kept the Same,Yes,No,More Equal Society,94,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,More Smelly
50,Female,40,35-44,Not Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,50,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
350,Male,36,35-44,Strong Republican,Strong Conservative,Graduate degree,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,75,Strongly No,Not Very Strongly Yes,No,Not Hungry,Yes,More Smelly
100000,Male,74,65+,DK/REF,Moderate,Graduate degree,,Asian,,City,Disapprove,Kept the Same,Yes,Yes,More Unequal Society,40,DK/REF,Strongly No,No,Not Hungry,No,Less Smelly
,DK/REF,99,65+,Strong Democrat,Moderate,Some college,,Latino,,DK/REF,Disapprove,Increased,Yes,No,DK/REF,5,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
20000,Female,29,25-34,Strong Democrat,Moderate,High school or less,,Black,,City,Disapprove,Increased,Yes,Yes,More Equal Society,90,Strongly Yes,Strongly No,Yes,Very Hungry,Yes,Less Smelly
140000,Male,63,55-64,Independent,Moderate,High school or less,,White,,Suburb,Disapprove,Kept the Same,Yes,Yes,More Equal Society,80,Not Very Strongly Yes,Strongly No,Yes,A Little Hungry,Yes,DK/REF
,Female,68,65+,Independent,Moderate,High school or less,,DK/REF,,Small Town,Neither Approve nor disapprove,Increased,No,No,More Equal Society,DK/REF,Strongly No,Strongly Yes,No,Very Hungry,No,Less Smelly
19999,Other,19,18-24,DK/REF,DK/REF,High school or less,,DK/REF,,Suburb,DK/REF,Kept the Same,DK/REF,DK/REF,More Equal Society,100,DK/REF,DK/REF,DK/REF,Not Hungry,DK/REF,DK/REF
20000,Female,52,45-54,Independent,Strong Conservative,High school or less,,White,,Suburb,DK/REF,Increased,Yes,No,DK/REF,30,Strongly Yes,Strongly Yes,Yes,A Little Hungry,No,Less Smelly
25000,Female,59,55-64,Independent,Strong Conservative,Some college,,Black,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,75,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
18,Female,82,65+,Independent,Strong Conservative,College degree,,White,,Small Town,Approve,Increased,No,No,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Male,65,65+,Independent,Strong Liberal,Graduate degree,,White,,Suburb,Disapprove,Decreased,No,Yes,More Equal Society,100,Not Very Strongly No,Strongly No,No,Not Hungry,No,DK/REF
