Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,Q5OTH1,What is your race?,Q6OTH1,What is your marital status?,Q7OTH1,q8x,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,q11x,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",q14x,Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,q16x,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
44000,Male,56,55-64,DK/REF,Somewhat Approve,Graduate degree,,DK/REF,,Married,,,Unlikely,Not Real At All,0,,Strongly Disagree,Strongly Disagree,20,,No,30,,Too High,FALSE,Smart and Sad,Acceptable
51000,Male,61,55-64,Republican,Strongly Approve,Some college,,White,,Married,,Yes,DK/REF,Real but not Caused by People,2,,Neither Agree nor Disagree,Somewhat Agree,17,,No,3,,About Right,TRUE,DK/REF,Unacceptable
98000,Male,57,55-64,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,,Yes,Strongly Agree,Strongly Agree,2,,No,4,,Too Low,FALSE,Smart and Sad,Unacceptable
39000,Female,57,55-64,Independent,Strongly disapprove,Graduate degree,,White,,In a relationship,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Somewhat Agree,15,,No,35,,Too Low,TRUE,Smart and Sad,Acceptable
26000,Male,49,45-54,Independent,Somewhat Approve,College degree,,DK/REF,,Married,,,Unlikely,Not Real At All,0,,Somewhat Agree,Strongly Agree,0,,No,20,,About Right,FALSE,Dumb and happy,Acceptable
70000,Female,72,65+,Republican,Strongly Approve,High school,,White,,Widowed,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Somewhat Agree,2,,DK/REF,,Yes,About Right,FALSE,DK/REF,Unacceptable
174000,Female,68,65+,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,0,,No,45,,About Right,TRUE,Dumb and happy,Acceptable
,Female,60,55-64,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Strongly Agree,10,,No,10,,Too Low,FALSE,Dumb and happy,Acceptable
,Female,63,55-64,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,,Yes,Strongly Agree,Somewhat Agree,30,,No,3,,About Right,FALSE,Dumb and happy,Acceptable
,Male,46,45-54,DK/REF,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,1,,Somewhat Disagree,Strongly Agree,25,,No,40,,Too High,FALSE,DK/REF,DK/REF
,Male,39,35-44,Independent,Strongly disapprove,Graduate degree,,Other,American Indian,Single,,,Unlikely,Real and Caused by People,,Yes,Somewhat Disagree,Somewhat Disagree,1000,,Yes,90,,Too High,TRUE,Smart and Sad,Unacceptable
,Male,50,45-54,DK/REF,Somewhat Approve,High school,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,0,,No,20,,Too High,FALSE,Smart and Sad,Unacceptable
,Male,88,65+,Independent,Neither approve nor disapprove,College degree,,White,,Married,,,Likely,Real but not Caused by People,0,,Strongly Agree,Strongly Agree,0,,No,,Yes,About Right,TRUE,Smart and Sad,Unacceptable
,Male,31,25-34,Republican,Somewhat Approve,College degree,,Asian,,In a relationship,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,4,,No,1,,Too Low,FALSE,Dumb and happy,Acceptable
,Male,45,45-54,DK/REF,Neither approve nor disapprove,High school,,Black,,Single,,,Unlikely,DK/REF,0,,DK/REF,Strongly Agree,0,,No,20,,Too Low,FALSE,Smart and Sad,Unacceptable
,Other,30,25-34,Democrat,Strongly Approve,High school,,Black,,Single,,,Unlikely,DK/REF,,Yes,Strongly Agree,Strongly Agree,2,,Yes,,Yes,Too High,DK/REF,Dumb and happy,Unacceptable
,Female,64,55-64,DK/REF,DK/REF,High school,,White,,Married,,,Unlikely,DK/REF,0,,Somewhat Agree,Strongly Agree,20,,No,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
,Female,32,25-34,DK/REF,DK/REF,Some college,,White,,Single,,,Unlikely,DK/REF,,Yes,DK/REF,Somewhat Agree,30,,No,,Yes,DK/REF,TRUE,Smart and Sad,Acceptable
,Female,42,35-44,Independent,Strongly Approve,College degree,,White,,In a relationship,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,3,,No,20,,About Right,TRUE,Dumb and happy,Unacceptable
,Male,70,65+,Independent,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Agree,Strongly Agree,4,,No,20,,About Right,FALSE,Dumb and happy,Unacceptable
,Female,69,65+,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,0,,No,5,,Too Low,TRUE,Smart and Sad,Unacceptable
,Male,51,45-54,Independent,Strongly Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,4,,Somewhat Agree,Strongly Agree,0,,Yes,4,,About Right,TRUE,Smart and Sad,Acceptable
,Male,64,55-64,Independent,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,0,,Strongly Disagree,Neither Agree nor Disagree,3,,Yes,20,,Too High,TRUE,Smart and Sad,Acceptable
,Female,49,45-54,DK/REF,DK/REF,Graduate degree,,Black,,Divorced,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Disagree,3,,No,30,,About Right,TRUE,Dumb and happy,Unacceptable
,Female,34,25-34,Democrat,Strongly disapprove,College degree,,Black,,Single,,,Unlikely,Real and Caused by People,3,,Somewhat Disagree,Somewhat Agree,8,,Yes,20,,Too High,TRUE,Dumb and happy,Unacceptable
,Female,50,45-54,Republican,Neither approve nor disapprove,College degree,,White,,Married,,,Unlikely,Not Real At All,,Yes,Somewhat Agree,Somewhat Agree,50,,No,8,,DK/REF,FALSE,Smart and Sad,Acceptable
,Female,65,65+,Independent,Strongly Approve,Graduate degree,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,5,,No,10,,Too Low,TRUE,Smart and Sad,Acceptable
,Male,74,65+,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,20,,No,5,,Too Low,TRUE,Smart and Sad,Acceptable
,Male,49,45-54,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,1,,No,10,,About Right,TRUE,Dumb and happy,Acceptable
,Female,25,25-34,Republican,Strongly disapprove,Some college,,Latino,,Single,,,Unlikely,Not Real At All,5,,Somewhat Disagree,Somewhat Disagree,0,,Yes,70,,Too High,TRUE,Dumb and happy,Acceptable
,Female,22,18-24,DK/REF,Strongly disapprove,Graduate degree,,Latino,,Single,,,Likely,Real and Caused by People,0,,Somewhat Disagree,Strongly Disagree,40,,No,50,,About Right,FALSE,Smart and Sad,Unacceptable
,Female,67,65+,Democrat,Somewhat disapprove,High school,,Black,,Widowed,,,Likely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,50,,No,10,,About Right,FALSE,Dumb and happy,Unacceptable
,Male,25,25-34,Democrat,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,5,,No,5.5,,Too Low,TRUE,Smart and Sad,Acceptable
,Male,76,65+,Independent,Strongly disapprove,Other,Post graduate,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,0,,No,0,,Too Low,TRUE,Smart and Sad,Unacceptable
,Male,30,25-34,Independent,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Strongly Agree,0,,No,35,,About Right,FALSE,Dumb and happy,Acceptable
,Male,21,18-24,Independent,Somewhat disapprove,College degree,,Black,,In a relationship,,,Unlikely,Real and Caused by People,2,,Somewhat Disagree,Strongly Agree,60,,No,17,,Too Low,TRUE,Smart and Sad,Unacceptable
,Female,38,35-44,Republican,Strongly Approve,College degree,,Black,,Single,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,13,,No,2,,About Right,TRUE,Smart and Sad,Unacceptable
100000,Female,59,55-64,Republican,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Disagree,Strongly Agree,3,,Yes,10,,About Right,FALSE,Dumb and happy,Unacceptable
,Male,52,45-54,Republican,Strongly Approve,High school,,White,,In a relationship,,,Unlikely,Not Real At All,3,,Strongly Disagree,Strongly Agree,25,,Yes,6,,About Right,TRUE,Smart and Sad,Unacceptable
,Female,21,18-24,Democrat,Strongly disapprove,Some college,,Latino,,Single,,,Likely,Real and Caused by People,2,,Neither Agree nor Disagree,Neither Agree nor Disagree,0,,No,,Yes,About Right,FALSE,Dumb and happy,Acceptable
,Male,38,35-44,Democrat,Strongly disapprove,College degree,,Latino,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,0,,No,1,,Too Low,TRUE,Smart and Sad,Acceptable
,Male,53,45-54,Independent,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,3,,No,5,,Too Low,FALSE,Smart and Sad,Acceptable
,Female,51,45-54,Independent,Somewhat disapprove,College degree,,White,,In a relationship,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,2,,No,10,,About Right,FALSE,Dumb and happy,Acceptable
,Male,45,45-54,Independent,Neither approve nor disapprove,Some college,,White,,Single,,,Unlikely,Not Real At All,0,,Neither Agree nor Disagree,Strongly Agree,28,,No,20,,Too High,TRUE,Dumb and happy,Unacceptable
,Female,40,35-44,Democrat,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,5,,No,5,,Too Low,TRUE,Dumb and happy,Unacceptable
,Male,70,65+,Independent,Strongly disapprove,College degree,,Black,,Married,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Somewhat Disagree,1,,No,30,,About Right,TRUE,Smart and Sad,Unacceptable
,Male,58,55-64,Democrat,Strongly disapprove,Graduate degree,,White,,Single,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,3,,No,5,,Too Low,FALSE,Smart and Sad,DK/REF
,Female,42,35-44,Independent,Somewhat disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,5,,No,10,,Too Low,TRUE,Dumb and happy,DK/REF
,Female,36,35-44,Democrat,Strongly disapprove,Graduate degree,,Latino,,In a relationship,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Somewhat Agree,3,,Yes,18,,Too High,FALSE,Smart and Sad,Acceptable
,Female,40,35-44,Independent,DK/REF,College degree,,White,,Married,,,DK/REF,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,100,,No,1,,DK/REF,TRUE,Dumb and happy,Unacceptable
,Female,24,18-24,Independent,DK/REF,College degree,,White,,In a relationship,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,10,,Yes,10,,Too Low,FALSE,Dumb and happy,Unacceptable
,Male,75,65+,Democrat,Strongly disapprove,College degree,,Black,,Widowed,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,6,,No,6,,Too Low,FALSE,Smart and Sad,Unacceptable
,Female,68,65+,Republican,Somewhat Approve,Some college,,White,,Widowed,,,Likely,Real but not Caused by People,0,,Somewhat Agree,Strongly Disagree,250,,No,20,,About Right,TRUE,Dumb and happy,Unacceptable
132000,Male,57,55-64,Independent,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,4,,No,30,,About Right,FALSE,Dumb and happy,Unacceptable
48000,Male,64,55-64,Republican,Strongly Approve,Graduate degree,,Asian,,Married,,,Unlikely,Not Real At All,3,,Somewhat Agree,Somewhat Agree,0,,Yes,2,,About Right,FALSE,Smart and Sad,Acceptable
92000,Female,56,55-64,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,12,,Yes,20,,Too Low,FALSE,Smart and Sad,Unacceptable
25000,Female,33,25-34,Democrat,Somewhat disapprove,Graduate degree,,Black,,Single,,,Unlikely,Real but not Caused by People,1,,Neither Agree nor Disagree,Strongly Agree,12,,No,30,,About Right,TRUE,Dumb and happy,Acceptable
22000,Female,40,35-44,DK/REF,Somewhat Approve,Some college,,White,,Married,,,Unlikely,DK/REF,5,,Strongly Agree,Strongly Agree,5,,Yes,50,,Too Low,TRUE,Dumb and happy,Acceptable
57000,Female,57,55-64,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,56,,Yes,,Yes,Too High,FALSE,Dumb and happy,Acceptable
170000,Male,63,55-64,Independent,Somewhat disapprove,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Somewhat Agree,3,,No,5,,About Right,TRUE,Smart and Sad,Acceptable
92000,Female,57,55-64,Independent,Somewhat Approve,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,52,,No,30,,Too Low,TRUE,Dumb and happy,Unacceptable
91000,Female,48,45-54,Independent,Somewhat Approve,College degree,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,12,,Yes,10,,About Right,FALSE,Smart and Sad,Acceptable
10000,Female,55,55-64,Independent,Neither approve nor disapprove,College degree,,DK/REF,,Married,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Somewhat Agree,6,,No,5,,Too Low,TRUE,DK/REF,Unacceptable
48000,Female,60,55-64,Independent,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Agree,Strongly Agree,40,,Yes,30,,Too High,TRUE,Smart and Sad,Unacceptable
105000,Female,59,55-64,Independent,Strongly Approve,High school,,White,,Divorced,,,Likely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,0,,Yes,4,,About Right,TRUE,Dumb and happy,Unacceptable
52000,Male,51,45-54,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,4,,Yes,4,,Too Low,TRUE,Smart and Sad,DK/REF
90000,Female,64,55-64,Republican,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,3,,Yes,,Yes,Too Low,TRUE,Smart and Sad,Unacceptable
39000,Female,75,65+,Democrat,Strongly disapprove,High school,,Black,,Divorced,,,DK/REF,Real and Caused by People,0,,Strongly Disagree,Strongly Disagree,0,,No,,Yes,Too High,TRUE,Dumb and happy,Unacceptable
120000,Male,53,45-54,Democrat,Strongly disapprove,High school,,White,,Married,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,2,,Yes,1,,About Right,TRUE,Dumb and happy,Acceptable
34000,Female,65,65+,DK/REF,Strongly Approve,High school,,White,,Single,,,Unlikely,Real but not Caused by People,1,,Somewhat Disagree,DK/REF,0,,No,60,,Too High,TRUE,Dumb and happy,Unacceptable
180000,Female,40,35-44,Republican,Strongly Approve,College degree,,White,,Married,,,Likely,Not Real At All,0,,Somewhat Disagree,Somewhat Agree,0,,No,30,,Too High,TRUE,Smart and Sad,Unacceptable
150000,Male,45,45-54,Republican,Somewhat Approve,College degree,,Black,,Married,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Strongly Agree,0,,No,,Yes,DK/REF,TRUE,Dumb and happy,Acceptable
164000,Female,26,25-34,Democrat,Strongly disapprove,High school,,White,,Single,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,15,,No,40,,Too Low,FALSE,Smart and Sad,Acceptable
83000,Male,64,55-64,Independent,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,4,,No,5,,About Right,TRUE,Dumb and happy,Unacceptable
386000,Other,36,35-44,Independent,Strongly Approve,Graduate degree,,Black,,Married,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Strongly Agree,5,,DK/REF,11,,DK/REF,FALSE,Dumb and happy,Unacceptable
79000,Male,60,55-64,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Somewhat Agree,3,,Yes,15,,About Right,TRUE,Dumb and happy,Unacceptable
32000,Male,64,55-64,Independent,Strongly disapprove,College degree,,White,,Separated,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,6,,No,,Yes,Too Low,FALSE,DK/REF,DK/REF
327000,Female,55,55-64,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,2,,No,5,,Too Low,TRUE,Smart and Sad,Unacceptable
62000,Female,62,55-64,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Strongly Agree,5,,No,40,,Too Low,TRUE,Smart and Sad,Unacceptable
180000,Female,64,55-64,Republican,Somewhat Approve,Some college,,White,,Widowed,,,Unlikely,Real but not Caused by People,0,,DK/REF,Strongly Agree,1,,Yes,5,,About Right,TRUE,Dumb and happy,Acceptable
70000,Female,49,45-54,Independent,Strongly disapprove,Some college,,Black,,In a relationship,,,Unlikely,Real but not Caused by People,4,,Strongly Agree,Strongly Agree,0,,Yes,85,,About Right,TRUE,Dumb and happy,Acceptable
103000,Female,58,55-64,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Strongly Disagree,50,,Yes,5,,About Right,TRUE,Smart and Sad,Acceptable
20000,Female,60,55-64,DK/REF,Strongly Approve,High school,,Other,America Indian,Married,,,Likely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,0,,Yes,,Yes,About Right,TRUE,Dumb and happy,DK/REF
57000,Male,47,45-54,Independent,Somewhat Approve,Graduate degree,,White,,Single,,,Likely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,5,,No,3,,Too Low,FALSE,Dumb and happy,Unacceptable
90000,Female,55,55-64,DK/REF,DK/REF,DK/REF,,White,,Married,,,Unlikely,DK/REF,2,,Somewhat Disagree,Somewhat Disagree,8,,No,,Yes,DK/REF,DK/REF,Dumb and happy,DK/REF
78000,Female,58,55-64,DK/REF,Strongly disapprove,Other,Technical,DK/REF,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Disagree,Somewhat Agree,120,,No,5,,Too Low,FALSE,Smart and Sad,Acceptable
132000,Female,61,55-64,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Agree,6,,No,10,,Too Low,FALSE,DK/REF,DK/REF
73000,Male,61,55-64,Republican,Neither approve nor disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,20,,No,15,,Too High,FALSE,Smart and Sad,Unacceptable
42000,Female,57,55-64,Republican,Somewhat Approve,Graduate degree,,White,,Married,,,DK/REF,Not Real At All,0,,Somewhat Agree,Strongly Agree,30,,Yes,2,,About Right,TRUE,Dumb and happy,DK/REF
21000,Female,69,65+,Democrat,Strongly disapprove,High school,,Black,,Separated,,,Likely,Real but not Caused by People,0,,Somewhat Disagree,Somewhat Disagree,2,,No,5,,About Right,FALSE,Dumb and happy,Unacceptable
163000,Male,58,55-64,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,DK/REF,12,,No,10,,Too Low,TRUE,Smart and Sad,Unacceptable
25000,Female,63,55-64,Independent,Strongly Approve,High school,,White,,Divorced,,,Unlikely,DK/REF,2,,Strongly Agree,Strongly Agree,4,,Yes,,Yes,DK/REF,DK/REF,Smart and Sad,Acceptable
92000,Female,66,65+,Republican,Strongly Approve,High school,,White,,In a relationship,,,Likely,Not Real At All,,Yes,Strongly Disagree,Strongly Disagree,2,,Yes,,Yes,Too High,TRUE,Dumb and happy,Unacceptable
88000,Female,44,35-44,Independent,Strongly disapprove,High school,,White,,Married,,,Unlikely,Real but not Caused by People,5,,Strongly Agree,Strongly Agree,0,,Yes,90,,Too Low,TRUE,Dumb and happy,Unacceptable
22000,Male,70,65+,Independent,Somewhat Approve,Graduate degree,,White,,In a relationship,,,Unlikely,Not Real At All,0,,Strongly Agree,Strongly Agree,6,,No,50,,About Right,TRUE,Smart and Sad,Unacceptable
43000,Male,63,55-64,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Disagree,5,,No,5,,About Right,FALSE,Dumb and happy,Unacceptable
90000,Male,60,55-64,Republican,Strongly Approve,College degree,,DK/REF,,Married,,,Unlikely,Not Real At All,2,,Strongly Disagree,Somewhat Agree,15,,No,,Yes,About Right,TRUE,Smart and Sad,DK/REF
47000,Female,60,55-64,Independent,Strongly disapprove,High school,,White,,Single,,,Unlikely,Real and Caused by People,2,,Somewhat Disagree,Strongly Agree,6,,Yes,30,,Too Low,FALSE,Dumb and happy,Unacceptable
120000,Male,52,45-54,Independent,Somewhat Approve,Graduate degree,,DK/REF,,Married,,,Unlikely,Real but not Caused by People,3,,Strongly Disagree,Somewhat Agree,8,,No,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
10000,Female,38,35-44,Independent,Strongly Approve,High school,,Other,American Indian,Married,,,DK/REF,Real and Caused by People,0,,Somewhat Disagree,Strongly Agree,4,,Yes,,Yes,Too Low,TRUE,Dumb and happy,Unacceptable
10000,Female,61,55-64,Independent,Strongly disapprove,Some college,,White,,In a relationship,,,Likely,Real and Caused by People,4,,Somewhat Disagree,Strongly Disagree,10,,Yes,,Yes,Too High,FALSE,Dumb and happy,Unacceptable
55000,Female,62,55-64,Independent,Strongly Approve,High school,,White,,Married,,,Likely,Real and Caused by People,4,,Somewhat Agree,Somewhat Agree,10,,DK/REF,,Yes,About Right,TRUE,DK/REF,Unacceptable
113000,Male,40,35-44,Independent,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,0,,No,5,,About Right,FALSE,Dumb and happy,Unacceptable
137000,Female,40,35-44,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Disagree,Strongly Agree,15,,Yes,35,,About Right,FALSE,Smart and Sad,Unacceptable
9000,Female,61,55-64,Republican,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,3,,Somewhat Agree,Strongly Agree,25,,Yes,15,,Too Low,TRUE,Smart and Sad,Acceptable
37000,Female,68,65+,Democrat,Strongly disapprove,High school,,White,,Widowed,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,1,,No,,Yes,About Right,TRUE,Dumb and happy,Unacceptable
39000,Female,32,25-34,Democrat,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,30,,No,1,,Too Low,FALSE,Dumb and happy,Unacceptable
13000,Female,55,55-64,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Somewhat Agree,Somewhat Agree,0,,Yes,20,,About Right,TRUE,Dumb and happy,Unacceptable
47000,Female,58,55-64,Republican,Somewhat Approve,High school,,Black,,Married,,,Likely,Real and Caused by People,0,,Somewhat Disagree,Somewhat Disagree,0,,No,75,,About Right,TRUE,Dumb and happy,Unacceptable
72000,Male,60,55-64,Independent,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,1,,Somewhat Disagree,Somewhat Agree,40,,No,5,,About Right,FALSE,Smart and Sad,DK/REF
37000,Male,58,55-64,Independent,Strongly Approve,College degree,,White,,Married,,,Likely,Not Real At All,3,,Somewhat Agree,Strongly Agree,60,,Yes,10,,About Right,TRUE,Dumb and happy,Unacceptable
69000,Male,55,55-64,Independent,Strongly Approve,Some college,,Other,Native American,Widowed,,,Unlikely,Not Real At All,4,,Strongly Disagree,DK/REF,7,,No,12,,Too High,TRUE,Smart and Sad,Acceptable
208000,Male,55,55-64,Independent,Strongly Approve,Graduate degree,,Latino,,Single,,,Unlikely,Not Real At All,4,,Somewhat Disagree,Strongly Agree,10,,No,10,,About Right,TRUE,Dumb and happy,Acceptable
75000,Female,59,55-64,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,Real and Caused by People,4,,Strongly Agree,Strongly Agree,5,,Yes,,Yes,About Right,TRUE,Smart and Sad,Unacceptable
30000,Female,57,55-64,DK/REF,Somewhat disapprove,College degree,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,17,,No,35,,Too Low,TRUE,Smart and Sad,Acceptable
23000,Male,62,55-64,Democrat,Strongly disapprove,High school,,Black,,Divorced,,,Likely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,5,,No,70,,About Right,FALSE,Dumb and happy,Unacceptable
8000,Male,34,25-34,Independent,Strongly disapprove,Some college,,White,,Single,,,DK/REF,Real and Caused by People,0,,Strongly Disagree,Strongly Agree,3,,No,15,,Too Low,TRUE,Dumb and happy,Acceptable
114000,Male,40,35-44,Republican,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Strongly Agree,Strongly Agree,150,,No,1,,About Right,FALSE,Smart and Sad,Unacceptable
112000,Female,33,25-34,Democrat,Strongly disapprove,High school,,Black,,Single,,,DK/REF,DK/REF,,Yes,DK/REF,DK/REF,0,,Yes,,Yes,DK/REF,DK/REF,Dumb and happy,Unacceptable
129000,Female,45,45-54,Democrat,Strongly disapprove,Some college,,Latino,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,6,,Yes,10,,About Right,TRUE,DK/REF,Unacceptable
94000,Male,51,45-54,Democrat,Strongly disapprove,High school,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,10,,No,5,,Too Low,TRUE,Smart and Sad,Acceptable
129000,Male,63,55-64,Republican,Strongly Approve,Graduate degree,,White,,Widowed,,,Unlikely,DK/REF,0,,Strongly Agree,Somewhat Disagree,10,,No,,Yes,DK/REF,FALSE,Dumb and happy,Acceptable
177000,Male,63,55-64,Republican,Strongly Approve,Some college,,White,,Divorced,,,Unlikely,Not Real At All,0,,Strongly Disagree,Strongly Agree,2,,Yes,3,,About Right,TRUE,Dumb and happy,Unacceptable
30000,Female,62,55-64,DK/REF,Strongly disapprove,Some college,,White,,Married,,,DK/REF,Real and Caused by People,0,,Strongly Disagree,Strongly Disagree,100,,Yes,2,,Too High,FALSE,Smart and Sad,Acceptable
12000,Male,35,35-44,DK/REF,Somewhat Approve,College degree,,White,,Divorced,,,Likely,Real and Caused by People,2,,Neither Agree nor Disagree,Somewhat Agree,4,,No,40,,Too Low,TRUE,Dumb and happy,Unacceptable
135000,Male,57,55-64,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,3,,No,5,,Too Low,TRUE,Smart and Sad,DK/REF
